Gene,Confidence,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YJR097W,0.172669,12,2448,1894,94,0.4285071942446043,0.004878048780487805,0.11320754716981132,0.5637954859511746,0.43620451404882543
YLR195C,0.172669,12,2447,1895,94,0.42873201438848924,0.004880032533550223,0.11320754716981132,0.5635651773376325,0.43643482266236755
YML051W,0.172669,12,2446,1896,94,0.4289568345323741,0.004882017900732303,0.11320754716981132,0.5633348687240903,0.4366651312759097
YLR144C,0.172669,12,2445,1897,94,0.429181654676259,0.004884004884004884,0.11320754716981132,0.5631045601105481,0.43689543988945184
YNL246W,0.172669,12,2444,1898,94,0.4294064748201439,0.004885993485342019,0.11320754716981132,0.562874251497006,0.437125748502994
YBR066C,0.172669,12,2443,1899,94,0.4296312949640288,0.004887983706720978,0.11320754716981132,0.5626439428834639,0.43735605711653613
YPR062W,0.172669,12,2442,1900,94,0.42985611510791366,0.004889975550122249,0.11320754716981132,0.5624136342699217,0.4375863657300783
YNR032W,0.172669,12,2441,1901,94,0.4300809352517986,0.004891969017529555,0.11320754716981132,0.5621833256563795,0.4378166743436204
YGL113W,0.172669,12,2440,1902,94,0.43030575539568344,0.004893964110929853,0.11320754716981132,0.5619530170428374,0.4380469829571626
YOR134W,0.172669,12,2439,1903,94,0.43053057553956836,0.004895960832313341,0.11320754716981132,0.5617227084292953,0.4382772915707047
YER035W,0.172669,12,2438,1904,94,0.4307553956834532,0.004897959183673469,0.11320754716981132,0.5614923998157532,0.4385076001842469
YDR213W,0.172669,12,2437,1905,94,0.43098021582733814,0.004899959167006942,0.11320754716981132,0.5612620912022109,0.438737908797789
YMR161W,0.172669,12,2436,1906,94,0.431205035971223,0.004901960784313725,0.11320754716981132,0.5610317825886688,0.4389682174113312
YGR268C,0.172669,12,2435,1907,94,0.4314298561151079,0.004903964037597058,0.11320754716981132,0.5608014739751267,0.4391985260248733
YPL070W,0.172669,12,2434,1908,94,0.4316546762589928,0.004905968928863451,0.11320754716981132,0.5605711653615846,0.4394288346384155
YHR063C,0.172669,12,2433,1909,94,0.4318794964028777,0.0049079754601227,0.11320754716981132,0.5603408567480423,0.4396591432519576
YDR437W,0.172669,12,2432,1910,94,0.43210431654676257,0.004909983633387889,0.11320754716981132,0.5601105481345002,0.43988945186549977
YMR226C,0.172669,12,2431,1911,94,0.4323291366906475,0.004911993450675399,0.11320754716981132,0.5598802395209581,0.44011976047904194
YLR213C,0.172669,12,2430,1912,94,0.43255395683453235,0.004914004914004914,0.11320754716981132,0.5596499309074159,0.44035006909258406
YKL075C,0.172669,12,2429,1913,94,0.43277877697841727,0.004916018025399427,0.11320754716981132,0.5594196222938738,0.44058037770612624
YDR173C,0.172669,12,2428,1914,94,0.43300359712230213,0.004918032786885246,0.11320754716981132,0.5591893136803316,0.44081068631966835
YHR144C,0.172669,12,2427,1915,94,0.43322841726618705,0.004920049200492005,0.11320754716981132,0.5589590050667895,0.44104099493321053
YAR035W,0.172669,12,2426,1916,94,0.43345323741007197,0.004922067268252666,0.11320754716981132,0.5587286964532473,0.44127130354675265
YPL021W,0.172669,12,2425,1917,94,0.43367805755395683,0.004924086992203529,0.11320754716981132,0.5584983878397052,0.4415016121602948
YNL072W,0.172669,12,2424,1918,94,0.43390287769784175,0.0049261083743842365,0.11320754716981132,0.5582680792261631,0.44173192077383694
YDR320C-A,0.172669,12,2423,1919,94,0.4341276978417266,0.004928131416837783,0.11320754716981132,0.5580377706126209,0.4419622293873791
YDR059C,0.172669,12,2422,1920,94,0.43435251798561153,0.0049301561216105174,0.11320754716981132,0.5578074619990787,0.44219253800092123
YKL088W,0.172669,12,2421,1921,94,0.4345773381294964,0.004932182490752158,0.11320754716981132,0.5575771533855366,0.4424228466144634
YDL190C,0.172669,12,2420,1922,94,0.4348021582733813,0.004934210526315789,0.11320754716981132,0.5573468447719945,0.4426531552280055
YBR233W-A,0.172669,12,2419,1923,94,0.4350269784172662,0.0049362402303578775,0.11320754716981132,0.5571165361584524,0.4428834638415477
YHR072W-A,0.172669,12,2418,1924,94,0.4352517985611511,0.0049382716049382715,0.11320754716981132,0.5568862275449101,0.4431137724550898
YBR214W,0.172669,12,2417,1925,94,0.43547661870503596,0.004940304652120214,0.11320754716981132,0.556655918931368,0.443344081068632
YLR436C,0.172669,12,2416,1926,94,0.4357014388489209,0.004942339373970346,0.11320754716981132,0.5564256103178259,0.4435743896821741
YHR087W,0.172669,12,2415,1927,94,0.43592625899280574,0.004944375772558714,0.11320754716981132,0.5561953017042838,0.4438046982957163
YHR021W-A,0.172669,12,2414,1928,94,0.43615107913669066,0.00494641384995878,0.11320754716981132,0.5559649930907415,0.4440350069092584
YDL189W,0.172669,12,2413,1929,94,0.4363758992805755,0.004948453608247422,0.11320754716981132,0.5557346844771994,0.4442653155228006
YOR137C,0.172669,12,2412,1930,94,0.43660071942446044,0.0049504950495049506,0.11320754716981132,0.5555043758636573,0.4444956241363427
YGL232W,0.172669,12,2411,1931,94,0.4368255395683453,0.004952538175815105,0.11320754716981132,0.5552740672501152,0.44472593274988487
YPL226W,0.17228,12,2410,1932,94,0.4370503597122302,0.00495458298926507,0.11320754716981132,0.555043758636573,0.444956241363427
YPR173C,0.17228,12,2409,1933,94,0.4372751798561151,0.004956629491945477,0.11320754716981132,0.5548134500230308,0.44518654997696916
YNL164C,0.17228,12,2408,1934,94,0.4375,0.0049586776859504135,0.11320754716981132,0.5545831414094887,0.4454168585905113
YIL121W,0.17228,12,2407,1935,94,0.4377248201438849,0.004960727573377429,0.11320754716981132,0.5543528327959466,0.44564716720405345
YBR093C,0.17228,12,2406,1936,94,0.4379496402877698,0.004962779156327543,0.11320754716981132,0.5541225241824044,0.44587747581759557
YMR264W,0.17228,12,2405,1937,94,0.4381744604316547,0.004964832436905255,0.11320754716981132,0.5538922155688623,0.44610778443113774
YNR050C,0.17228,12,2404,1938,94,0.43839928057553956,0.004966887417218543,0.11320754716981132,0.5536619069553201,0.44633809304467986
YDR487C,0.172267,12,2403,1939,94,0.4386241007194245,0.004968944099378882,0.11320754716981132,0.553431598341778,0.44656840165822204
YPL022W,0.172267,12,2402,1940,94,0.43884892086330934,0.004971002485501243,0.11320754716981132,0.5532012897282358,0.44679871027176415
YJL115W,0.172267,12,2401,1941,94,0.43907374100719426,0.004973062577704103,0.11320754716981132,0.5529709811146937,0.44702901888530633
YML064C,0.172114,12,2400,1942,94,0.4392985611510791,0.004975124378109453,0.11320754716981132,0.5527406725011516,0.44725932749884845
YDR443C,0.170914,12,2399,1943,94,0.43952338129496404,0.004977187888842804,0.11320754716981132,0.5525103638876094,0.4474896361123906
YDL006W,0.170304,11,2399,1943,95,0.4392985611510791,0.004564315352697096,0.10377358490566038,0.5525103638876094,0.4474896361123906
