Gene,Label,Annos,Score,Background Score,Precision,Recall,False Positive Rate
YIL135C,-1,-/-,32.35982273891568,347.15291592106223,0.06862745098039216,0.4846153846153846,0.5057675244010648
YPL190C,-1,-/-,32.320048082619905,266.7529484294355,0.06859009254218836,0.4846153846153846,0.5060632948831707
YKL016C,-1,-/-,32.10355778411031,532.5192491449416,0.06855277475516866,0.4846153846153846,0.5063590653652765
YNL101W,-1,-/-,32.03194819018245,294.66636207699776,0.06851549755301795,0.4846153846153846,0.5066548358473825
YLL038C,-1,-/-,32.03141690045595,308.1206177212298,0.06847826086956521,0.4846153846153846,0.5069506063294883
YER053C,-1,-/-,30.896725431084633,339.67824218794703,0.06844106463878327,0.4846153846153846,0.5072463768115942
YLR337C,-1,-/-,30.62411991134286,175.76028138399124,0.06840390879478828,0.4846153846153846,0.5075421472937001
YCR052W,-1,-/-,30.441491778939962,308.93339455872774,0.0683667932718394,0.4846153846153846,0.507837917775806
YJR059W,-1,-/-,28.883900836110115,277.4156361296773,0.06832971800433839,0.4846153846153846,0.5081336882579118
YMR104C,-1,-/-,28.78651836514473,271.66034065932035,0.06829268292682927,0.4846153846153846,0.5084294587400178
YKL062W,-1,-/-,28.628545459359884,218.95940414443612,0.06825568797399784,0.4846153846153846,0.5087252292221236
YDR247W,-1,-/-,28.373497366905212,258.9119901843369,0.06821873308067136,0.4846153846153846,0.5090209997042295
YGL175C,-1,-/-,27.97408839687705,281.775425568223,0.06818181818181818,0.4846153846153846,0.5093167701863354
YDR294C,-1,-/-,27.911042254418135,358.484474953264,0.06814494321254733,0.4846153846153846,0.5096125406684413
YOL086C,-1,-/-,27.406859032809734,229.86547021195292,0.0681081081081081,0.4846153846153846,0.5099083111505471
YOR181W,-1,-/-,26.760062657296658,136.93405198305845,0.06807131280388978,0.4846153846153846,0.5102040816326531
YFL026W,-1,-/-,26.43394910544157,285.5457896515727,0.06803455723542116,0.4846153846153846,0.5104998521147589
YDL165W,-1,-/-,26.37043187022209,340.8284942880273,0.06799784133837021,0.4846153846153846,0.5107956225968648
YHR055C,-1,-/-,26.08975462242961,318.62028078362346,0.06796116504854369,0.4846153846153846,0.5110913930789707
YBR026C,-1,-/-,26.0516072884202,311.53034073486924,0.06792452830188679,0.4846153846153846,0.5113871635610766
YMR190C,-1,-/-,25.823752962052822,228.86294874176383,0.06788793103448276,0.4846153846153846,0.5116829340431824
YER083C,-1,-/-,25.789057709276676,265.6656459905207,0.06785137318255251,0.4846153846153846,0.5119787045252884
YML029W,-1,-/-,25.451207786798477,282.865485381335,0.06781485468245425,0.4846153846153846,0.5122744750073943
YAL044C,-1,-/-,25.337433375418186,308.42330938205123,0.06777837547068316,0.4846153846153846,0.5125702454895001
YER035W,-1,-/-,25.1507312618196,244.69773383438587,0.06774193548387097,0.4846153846153846,0.5128660159716061
YBR036C,-1,-/-,25.038738444447517,320.9784866757691,0.0677055346587856,0.4846153846153846,0.5131617864537119
YLR157C,-1,-/-,24.630775164812803,278.80783634632826,0.06766917293233082,0.4846153846153846,0.5134575569358178
YOL151W,-1,-/-,24.60422982648015,131.98182800784707,0.06763285024154589,0.4846153846153846,0.5137533274179237
YNL159C,-1,-/-,24.309740860015154,141.46747471392155,0.06759656652360516,0.4846153846153846,0.5140490979000296
YLR301W,1,+/+,23.806566696614027,234.65514907240868,0.06809651474530831,0.48846153846153845,0.5140490979000296
YBR265W,-1,-/-,23.659129939973354,295.9026804715395,0.06806002143622722,0.48846153846153845,0.5143448683821354
YER014C-A,-1,-/-,23.50397713854909,276.78506910055876,0.06802356722013926,0.48846153846153845,0.5146406388642414
YLL061W,-1,-/-,23.22920387238264,270.60579527169466,0.06798715203426124,0.48846153846153845,0.5149364093463472
YGL001C,-1,-/-,23.2129530236125,179.96149595826864,0.06795077581594436,0.48846153846153845,0.5152321798284532
YLL050C,-1,-/+,22.779314067214727,272.1520430408418,0.0679144385026738,0.48846153846153845,0.515527950310559
YKL146W,-1,-/-,22.76141031831503,107.22296441718936,0.06787814003206841,0.48846153846153845,0.5158237207926649
YDR297W,-1,-/-,22.486222568899393,122.37622819468379,0.06784188034188034,0.48846153846153845,0.5161194912747707
YKR050W,-1,-/-,22.462276462465525,161.33149671554565,0.06780565936999466,0.48846153846153845,0.5164152617568767
YJL140W,-1,-/-,22.206684466451406,336.8433132395148,0.06776947705442903,0.48846153846153845,0.5167110322389825
YBR183W,-1,-/-,21.92693516612053,192.71396524086595,0.06773333333333334,0.48846153846153845,0.5170068027210885
YNL065W,-1,-/-,21.900483042001724,209.43625017628074,0.06769722814498934,0.48846153846153845,0.5173025732031943
YGL212W,-1,-/+,21.486192286014557,233.440216653049,0.06766116142781034,0.48846153846153845,0.5175983436853002
YOR221C,-1,-/-,21.192769411951303,206.92997351661325,0.06762513312034078,0.48846153846153845,0.517894114167406
YGR249W,-1,-/-,20.930014740675688,174.3852644637227,0.06758914316125599,0.48846153846153845,0.518189884649512
YDR055W,-1,-/-,20.920115388929844,178.92135594412684,0.0675531914893617,0.48846153846153845,0.5184856551316178
YGR008C,-1,-/-,20.91120233759284,267.67181833833456,0.06751727804359384,0.48846153846153845,0.5187814256137238
YER119C,-1,-/-,20.31983034312725,208.71577586978674,0.06748140276301806,0.48846153846153845,0.5190771960958296
YNL066W,-1,-/-,20.255512926727533,103.43291233107448,0.06744556558682953,0.48846153846153845,0.5193729665779355
