Used 2009 Datasets
Initialized Expression Datasets
Intersection: 0
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Train_/
./Yeast Resources/Pairwise/Spell/Dropout_Small/Original_x_b_113x50x53_lr0.01_batch50_hiddenDrop0.3_Test_/
 ['YBL016W' 'YOR367W' 0 -2.1296692]
 ['YOR128C' 'YOL039W' 0 -2.1376457]
 ['YHR191C' 'YGR091W' 0 -2.1750302]
 ['YJL209W' 'YOL075C' 0 -2.194298]
 ['YDL004W' 'YBR021W' 0 -2.255672]
 ['YLR225C' 'YNL014W' 0 -2.3147054]
 ['YOR141C' 'YOR073W' 0 -2.3288393]
 ['YGL130W' 'YPR112C' 0 -2.371564]
 ['YNL169C' 'YFL034C-A' 0 -2.418425]
 ['YCR069W' 'YGL012W' 0 -2.4871252]
 ['YML064C' 'YIL040W' 0 -2.4894137]
 ['YPL060C-A' 'YNR039C' 0 -2.4929724]
 ['YGR098C' 'YOR343C-B' 0 -2.4974935]
 ['YPR158W-A' 'YNL005C' 0 -2.4975576]
 ['YNL124W' 'YNL009W' 0 -2.5623126]
 ['YDR206W' 'YCR097W' 0 -2.6408825]
 ['YLR166C' 'YOL006C' 0 -2.6502552]
 ['YPL045W' 'YML033W' 0 -2.6543283]
 ['YIL063C' 'YLR022C' 1 -2.6937442]
 ['YOL016C' 'YPL170W' 0 -2.7216246]
 ['YJL122W' 'YLL042C' 0 -2.735364]
 ['YKL071W' 'YDR084C' 0 -2.7384894]
 ['YFL052W' 'YPR079W' 0 -2.7753303]
 ['YKL184W' 'YNL224C' 0 -2.7895863]
 ['YDR210W' 'YPL266W' 0 -2.8044424]
 ['YIL016W' 'YOR064C' 0 -2.810007]
 ['YJL207C' 'YKL209C' 0 -2.8809898]
 ['YCL062W' 'YGR195W' 0 -2.8980546]
 ['YOL146W' 'YOR149C' 0 -2.9068944]
 ['YER026C' 'YOL113W' 0 -2.9461014]
 ['YPL217C' 'YNL030W' 0 -2.958196]
 ['YJR043C' 'YDL104C' 0 -2.965513]
 ['YOL089C' 'YDR037W' 0 -3.0073855]
 ['YLR070C' 'YGL029W' 0 -3.0247803]
 ['YGL002W' 'YIL015W' 0 -3.0268695]
 ['YIL063C' 'YDR267C' 1 -3.0613797]
 ['YBR290W' 'YDR210W' 0 -3.12413]
 ['YLR410W' 'YEL009C' 0 -3.1760747]
 ['YGL032C' 'YDR037W' 0 -3.223588]
 ['YDL181W' 'YCR089W' 0 -3.2797937]
 ['YDL066W' 'YHR084W' 0 -3.3218293]
 ['YLR408C' 'YPL283C' 0 -3.3335564]
 ['YNL058C' 'YMR044W' 0 -3.5097876]
 ['YOR196C' 'YLR372W' 0 -3.5168886]
