Gene A,Gene B,Score
YKL053C-A,YKL003C,0.0020853003952652216
YKL053C-A,YPR166C,0.008445167914032936
YKL053C-A,YDR405W,5.222312393016182e-05
YJR120W,YHL004W,5.265935223411258e-15
YJR120W,YPL118W,1.789153000015739e-13
YJR120W,YNL005C,2.4337579401173674e-19
YJR120W,YHR091C,1.4522633096092363e-11
YJR120W,YLR069C,1.348542263100716e-12
YJR120W,YDR116C,4.424778884865889e-16
YJR120W,YNL284C,2.472074194653784e-12
YJR120W,YDL202W,6.422133224520676e-12
YJR120W,YKR006C,3.1544203555645967e-13
YJR120W,YLR312W-A,1.0720028163768713e-11
YJR120W,YBL038W,2.601203323918111e-12
YJR120W,YNL252C,2.3636647483726847e-07
YJR120W,YNL185C,2.71076672393733e-13
YJR120W,YKL194C,8.463653666801463e-10
YJR120W,YKR085C,1.2971476106779511e-12
YJR120W,YNL177C,1.2593216400236251e-12
YJR120W,YOR150W,1.1002350238693706e-15
YJR120W,YDR268W,7.033289749214244e-12
YJR120W,YMR193W,2.994108053936545e-13
YJR120W,YGR076C,1.2683479822515366e-14
YJR120W,YBR282W,5.693811375617926e-15
YJR120W,YNL081C,1.5676844759624208e-16
YJR120W,YDR462W,2.521382826426577e-17
YJR120W,YMR024W,1.1292568963261473e-10
YJR120W,YKL138C,8.490309503251339e-19
YJR120W,YCR003W,4.6437051252901096e-12
YJR120W,YML025C,3.3680086578826915e-14
YJR120W,YMR286W,1.8041264662760348e-11
YJR120W,YDR322W,2.923559967249814e-14
YJR120W,YBR122C,6.597622448367702e-11
YJR120W,YBR268W,1.9328390613287255e-13
YJR120W,YKL170W,5.448746109252417e-14
YJR120W,YOR335C,4.585657440724675e-16
YJR120W,YML009C,9.52824219524473e-09
YJR120W,YBR121C,3.384935221006913e-09
YJR120W,YPL173W,6.044450628905906e-08
YJR120W,YMR225C,1.942555545673269e-13
YJR120W,YDR041W,3.759129452163279e-09
YJR120W,YJL096W,4.360601723457647e-12
YJR120W,YER050C,1.6545887381556879e-13
YJR120W,YNR022C,1.806742584666002e-16
YJR120W,YNR037C,5.174257459398136e-15
YJR120W,YPR100W,8.109406616135578e-16
YJR120W,YKL155C,2.0708701420346642e-10
YJR120W,YHR147C,1.7521104154059777e-16
YJR120W,YGL129C,4.488862352571704e-13
YJR120W,YDR237W,4.968268157989897e-11
YJR120W,YDR175C,1.5816263735764306e-16
YJR120W,YJL063C,2.1206810179447144e-12
YJR120W,YIL093C,3.599237380327472e-18
YJR120W,YJR101W,7.865898281030417e-14
YJR120W,YOL023W,3.1627285235202862e-09
YJR120W,YGR215W,7.910553180383306e-14
YJR120W,YPL040C,4.998369797351359e-15
YJR120W,YNR036C,1.4658571665521203e-12
YJR120W,YMR282C,1.738791963819649e-18
YJR120W,YPL013C,9.7957355264155e-17
YJR120W,YMR188C,1.2867383211451894e-13
YJR120W,YJR113C,5.2760215223405724e-14
YJR120W,YDR115W,1.7566338466300235e-13
YJR120W,YNL306W,2.1565699394451507e-14
YJR120W,YDR337W,4.885664355719355e-12
YJR120W,YGR165W,4.054521394507476e-17
YJR120W,YBR251W,1.6652742281918903e-13
YJR120W,YMR158W,5.376298906935306e-13
YJR120W,YBR146W,9.819112808579107e-18
YJR120W,YPL183W-A,3.714826135592375e-08
YJR120W,YCR046C,8.23208094204854e-17
YJR120W,YCR071C,2.5921186854946376e-13
YJR120W,YHR011W,1.7864669162384605e-12
YJR120W,YPL104W,3.744548430145234e-15
YJR120W,YNL137C,1.2201242620413222e-13
YJR120W,YOL033W,3.27631225914473e-14
YJR120W,YPR047W,6.879453366833658e-15
YJR120W,YBL080C,4.4593090331446206e-10
YJR120W,YOR158W,2.4689997268900754e-10
YJR120W,YLR139C,3.6114688128918715e-08
YJR120W,YDR347W,8.727830957955263e-12
YJR120W,YDL045W-A,3.374915025721424e-14
YJR120W,YNL073W,1.3373464113897171e-08
YJR120W,YGR084C,3.725733957460342e-11
YJR120W,YKL003C,2.583854519233597e-10
YJR120W,YPR166C,3.82917744008119e-14
YJR120W,YDR405W,1.8307206845044523e-15
YJR065C,YHL004W,1.242354309705096e-12
YJR065C,YPL118W,2.1002828782409393e-17
YJR065C,YNL005C,5.610486275255597e-20
YJR065C,YHR091C,1.7439929708706892e-11
YJR065C,YLR069C,4.504406855778684e-19
YJR065C,YDR116C,3.335554336398759e-16
YJR065C,YNL284C,2.394810044714646e-12
YJR065C,YDL202W,2.7856500335756815e-18
YJR065C,YKR006C,1.8061827329455583e-14
YJR065C,YLR312W-A,1.626607343556321e-14
YJR065C,YBL038W,1.5406025496202102e-17
YJR065C,YNL252C,4.639466935629777e-11
YJR065C,YNL185C,1.574599082232453e-06
