Name,+/-,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YCL008C,-1,7.8507361562571765,151,3409,3018,5,0.4813914628588789,0.04241573033707865,0.967948717948718,0.5304185467558736,0.46958145324412637
YGL141W,-1,7.845412053912856,151,3410,3017,5,0.4812395564332371,0.042403819151923615,0.967948717948718,0.5305741403454177,0.4694258596545822
YOR081C,-1,7.837697676292778,151,3411,3016,5,0.48108765000759535,0.042391914654688376,0.967948717948718,0.5307297339349619,0.46927026606503813
YGR214W,-1,7.834410615743114,151,3412,3015,5,0.4809357435819535,0.04238001683974179,0.967948717948718,0.530885327524506,0.469114672475494
YOR386W,-1,7.833890016724279,151,3413,3014,5,0.48078383715631173,0.042368125701459036,0.967948717948718,0.5310409211140501,0.4689590788859499
YDL184C,-1,7.832384566097649,151,3414,3013,5,0.4806319307306699,0.042356241234221596,0.967948717948718,0.5311965147035942,0.4688034852964058
YOR005C,-1,7.82559372489287,151,3415,3012,5,0.4804800243050281,0.04234436343241727,0.967948717948718,0.5313521082931383,0.46864789170686166
YKL086W,-1,7.820432738646607,151,3416,3011,5,0.4803281178793863,0.042332492290440144,0.967948717948718,0.5315077018826825,0.4684922981173176
YNL142W,-1,7.819320816877007,151,3417,3010,5,0.4801762114537445,0.04232062780269058,0.967948717948718,0.5316632954722266,0.46833670452777343
YDR315C,-1,7.816510662256949,151,3418,3009,5,0.48002430502810267,0.04230876996357523,0.967948717948718,0.5318188890617707,0.46818111093822934
YBR196C,-1,7.8156420365864365,151,3419,3008,5,0.4798723986024609,0.042296918767507005,0.967948717948718,0.5319744826513148,0.46802551734868525
YNL098C,-1,7.813002033492237,151,3420,3007,5,0.47972049217681906,0.042285074208905066,0.967948717948718,0.5321300762408588,0.4678699237591411
YLR214W,-1,7.811781650743822,151,3421,3006,5,0.4795685857511773,0.04227323628219485,0.967948717948718,0.532285669830403,0.467714330169597
YPR200C,-1,7.792897626280362,151,3422,3005,5,0.47941667932553544,0.042261404981808005,0.967948717948718,0.5324412634199471,0.4675587365800529
YPL018W,-1,7.77105396486683,151,3423,3004,5,0.47926477289989367,0.04224958030218243,0.967948717948718,0.5325968570094912,0.4674031429905088
YHL027W,-1,7.761691598755248,151,3424,3003,5,0.4791128664742519,0.04223776223776224,0.967948717948718,0.5327524505990353,0.4672475494009647
snR52,-1,7.7585507503658,151,3425,3002,5,0.47896096004861005,0.04222595078299776,0.967948717948718,0.5329080441885794,0.46709195581142054
YDR376W,-1,7.742499278032393,151,3426,3001,5,0.4788090536229683,0.04221414593234554,0.967948717948718,0.5330636377781235,0.46693636222187646
YLR028C,-1,7.739627827561191,151,3427,3000,5,0.47865714719732644,0.04220234768026831,0.967948717948718,0.5332192313676677,0.46678076863233237
YIR017C,-1,7.738296825316888,151,3428,2999,5,0.47850524077168466,0.04219055602123498,0.967948717948718,0.5333748249572118,0.4666251750427882
YGL032C,-1,7.722393819383296,151,3429,2998,5,0.4783533343460428,0.04217877094972067,0.967948717948718,0.5335304185467559,0.46646958145324413
YMR169C,-1,7.721849777533589,151,3430,2997,5,0.47820142792040105,0.042166992460206644,0.967948717948718,0.5336860121363,0.46631398786370004
YGL215W,-1,7.721641119010382,151,3431,2996,5,0.4780495214947592,0.04215522054718034,0.967948717948718,0.533841605725844,0.4661583942741559
YHR190W,-1,7.721158540547078,151,3432,2995,5,0.47789761506911743,0.04214345520513536,0.967948717948718,0.5339971993153882,0.4660028006846118
YJR021C,-1,7.719277710849337,151,3433,2994,5,0.4777457086434756,0.04213169642857143,0.967948717948718,0.5341527929049323,0.46584720709506766
YOL031C,-1,7.707365731139327,151,3434,2993,5,0.4775938022178338,0.04211994421199442,0.967948717948718,0.5343083864944764,0.46569161350552357
YDR076W,-1,7.703118062547583,151,3435,2992,5,0.477441895792192,0.04210819854991634,0.967948717948718,0.5344639800840205,0.4655360199159795
YMR069W,-1,7.702877113538312,151,3436,2991,5,0.4772899893665502,0.04209645943685531,0.967948717948718,0.5346195736735646,0.46538042632643534
YGR143W,-1,7.701188273294773,151,3437,2990,5,0.4771380829409084,0.04208472686733556,0.967948717948718,0.5347751672631088,0.46522483273689125
YKR061W,-1,7.697266100822398,151,3438,2989,5,0.4769861765152666,0.042073000835887435,0.967948717948718,0.5349307608526529,0.4650692391473471
YGL191W,-1,7.690718676829635,151,3439,2988,5,0.4768342700896248,0.042061281337047354,0.967948717948718,0.535086354442197,0.464913645557803
YBR140C,-1,7.675338589652625,151,3440,2987,5,0.476682363663983,0.04204956836535784,0.967948717948718,0.5352419480317411,0.4647580519682589
